Date,Open,High,Low,Close,Adj Close,Volume
2018-04-19,351.600006,354.209991,350.179993,353.380005,315.453339,781700
2018-04-20,354.529999,355.000000,351.130005,351.989990,314.212524,1185300
2018-04-23,352.790009,358.619995,352.450012,358.600006,320.113129,1986000
2018-04-24,360.019989,361.989990,330.640015,336.489990,300.376068,3780500
2018-04-25,336.679993,337.149994,320.559998,329.500000,294.136353,3030800
2018-04-26,330.000000,334.859985,324.130005,330.399994,294.939728,1847500
2018-04-27,329.950012,330.230011,321.700012,322.029999,287.467957,1580600
2018-04-30,322.350006,325.459991,320.200012,320.839996,286.405762,1451100
2018-05-01,320.489990,321.239990,302.089996,308.459991,275.354462,3880100
2018-05-02,307.279999,313.399994,305.200012,305.700012,272.890686,2644800
2018-05-03,303.950012,310.500000,300.500000,309.929993,276.666687,2889900
2018-05-04,308.109985,312.700012,307.260010,311.440002,278.014587,1675500
2018-05-07,312.230011,317.920013,312.089996,317.709991,283.611694,1816800
2018-05-08,317.709991,325.390015,317.299988,324.190002,289.396179,2949500
2018-05-09,325.619995,328.549988,324.700012,326.119995,291.119080,1700000
2018-05-10,328.480011,329.019989,322.950012,324.489990,289.664001,1261600
2018-05-11,324.690002,325.859985,322.760010,324.040009,289.262299,844900
2018-05-14,323.250000,323.980011,317.440002,319.079987,284.834595,1417200
2018-05-15,317.750000,320.350006,317.000000,319.769989,285.450623,1131200
2018-05-16,320.100006,321.709991,318.839996,319.329987,285.057800,915800
2018-05-17,319.000000,321.500000,317.399994,320.420013,286.030853,961600
2018-05-18,320.760010,322.000000,319.799988,320.450012,286.057648,1013900
2018-05-21,322.500000,324.529999,321.160004,324.279999,289.476532,1001500
2018-05-22,323.260010,323.600006,317.040009,317.130005,283.093964,1501700
2018-05-23,315.829987,325.529999,314.130005,325.320007,290.404938,1603400
2018-05-24,324.660004,329.130005,323.339996,326.350006,291.324402,1211900
2018-05-25,326.000000,327.220001,319.859985,320.799988,286.370026,1020300
2018-05-29,319.670013,320.690002,315.359985,317.200012,283.156433,1159800
2018-05-30,319.029999,321.809998,317.160004,321.040009,286.584290,901400
2018-05-31,319.239990,320.279999,314.470001,314.540009,282.542023,1452700
2018-06-01,316.920013,317.799988,315.470001,316.630005,284.419464,886900
2018-06-04,317.109985,319.250000,316.220001,318.170013,285.802795,857000
2018-06-05,318.109985,321.239990,317.489990,320.019989,287.464630,873100
2018-06-06,320.769989,321.880005,318.510010,319.910004,287.365753,1083400
2018-06-07,320.500000,322.149994,318.940002,321.950012,289.198242,1088200
2018-06-08,321.730011,322.600006,318.100006,322.309998,289.521606,1260300
2018-06-11,322.119995,322.619995,319.160004,319.299988,286.817871,911100
2018-06-12,319.630005,320.029999,311.250000,315.160004,283.099030,1743100
2018-06-13,314.670013,317.799988,312.670013,314.350006,282.371338,2014200
2018-06-14,314.540009,315.799988,310.010010,310.589996,278.993835,1396200
2018-06-15,309.619995,310.970001,306.339996,310.140015,278.589691,1786300
2018-06-18,307.380005,310.000000,306.000000,309.519989,278.032776,1259300
2018-06-19,306.720001,307.630005,301.649994,302.519989,271.744843,1821600
2018-06-20,302.369995,304.970001,301.230011,302.859985,272.050232,1620800
2018-06-21,302.649994,302.859985,298.100006,300.380005,269.822601,1517500
2018-06-22,301.380005,301.809998,298.690002,299.380005,268.924255,1364200
2018-06-25,297.350006,303.329987,296.070007,298.769989,268.376282,1944800
2018-06-26,298.809998,300.429993,297.079987,299.079987,268.654785,1670800
2018-06-27,299.390015,302.119995,294.540009,294.779999,264.792267,1523900
2018-06-28,295.000000,296.709991,291.519989,295.239990,265.205475,1424300
2018-06-29,297.480011,299.980011,295.260010,295.429993,265.376160,1267800
2018-07-02,294.170013,299.299988,292.320007,299.119995,268.690704,977900
2018-07-03,300.000000,302.589996,298.619995,299.459991,268.996124,651000
2018-07-05,300.279999,303.160004,297.190002,299.190002,268.753723,986300
2018-07-06,298.410004,301.510010,296.209991,299.190002,268.753723,1103500
2018-07-09,301.000000,307.470001,300.359985,306.480011,275.302032,1244400
2018-07-10,308.109985,310.910004,307.209991,308.829987,277.412933,1525500
2018-07-11,307.829987,309.380005,305.929993,306.579987,275.391846,896200
2018-07-12,309.399994,314.470001,308.799988,313.309998,281.437225,1283300
2018-07-13,313.679993,319.500000,313.519989,318.369995,285.982422,1662500
2018-07-16,319.380005,323.380005,317.579987,319.049988,286.593292,1303400
2018-07-17,319.890015,320.980011,316.119995,317.500000,285.200989,868200
2018-07-18,317.709991,320.579987,316.500000,319.769989,287.240051,860400
2018-07-19,319.299988,320.859985,318.179993,319.600006,287.087372,759900
2018-07-20,318.350006,322.850006,317.440002,322.549988,289.737244,1563900
2018-07-23,322.549988,323.500000,316.790009,318.329987,285.946503,1585300
2018-07-24,325.000000,329.649994,313.000000,322.570007,289.755219,3253400
2018-07-25,323.049988,324.970001,316.670013,324.359985,291.363068,2104600
2018-07-26,324.829987,325.869995,321.170013,322.940002,290.087585,2011800
